FID,Shape,OBJECTID,FID_Itombw,FID_Zone_d,Id,FID_Contou,Id_1,Area_sq,Area_Ha,Type,FID_Ngwesh,FID_Zone_1,Id_12,FID_Cont_1,Id_12_13,Area_sq_1,Area_Ha_1,FID_Luindi,FID_Zone_2,Id_12_13_1,FID_Cont_2,Id_12_13_2,Area_sq_12,Area_Ha_12,Type_12,Shape_Leng,FID_Burhin,FID_Zone_3,Id_12_13_3,FID_Cont_3,Id_12_13_4,Area_sq_13,Area_Ha_13,Type_12_13,Shape_Le_1,FID_Bakisi,FID_Zone_4,Id_12_13_5,FID_Cont_4,Id_12_13_6,Area_sq_14,Area_Ha_14,Type_12_14,Shape_Le_2,FID_Basile,FID_Zone_5,Id_12_13_7,FID_Cont_5,Id_12_13_8,Area_sq_15,Area_Ha_15,Type_12_15,Shape_Le_3,FID_Wamuzi,FID_Zone_6,Id_12_13_9,FID_Cont_6,Id_12_1_10,Area_sq_16,Area_Ha_16,Shape_Le_4,Shape_Area,Chefferie
0,Polygon,1,0,-1,0,0,0,145.644471,14564.4471,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,53919.0944,145644471,Itombwe
1,Polygon,2,-1,0,0,0,0,123.021057,12302.10571,Zone de reforestation,0,0,0,-1,0,235.969016,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,92637.0576,123021057.1,Ngweshe
2,Polygon,3,-1,0,0,0,0,106.538887,10653.88869,Couloir,1,-1,0,0,0,2779.395007,277939.55,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,91907.41541,106538886.9,Ngweshe
3,Polygon,6,-1,0,0,0,0,155.861318,15586.13181,Couloir,-1,0,0,0,0,0,0,1,-1,0,0,0,2779.395007,277939.55,Corridor,475761.6784,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,63344.77233,155861318.1,Luindi
4,Polygon,7,-1,0,0,0,0,23.033019,2303.301864,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,0,-1,0,0,0,2779.395007,277939.55,Corridor,475761.6784,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,21829.61717,23033018.64,Burhinyi
5,Polygon,8,-1,0,0,0,0,1100.175112,110017.5112,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,0,-1,0,0,0,2779.395007,277939.55,Corridor,475761.6784,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0,211282.9505,1100175112,Bakisi
6,Polygon,9,-1,0,0,0,0,112.609702,11260.97017,Zone de reforestation,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,0,0,0,-1,0,235.969016,0,Zone de reforestation,153710.4707,-1,0,0,0,0,0,0,77202.47772,112609701.7,Basile
7,Polygon,10,-1,0,0,0,0,43.064533,4306.453277,Zone de reforestation,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,1,1,0,-1,0,97.621586,0,Zone de reforestation,55132.54786,-1,0,0,0,0,0,0,27597.59774,43064532.77,Basile
8,Polygon,11,-1,0,0,0,0,642.368536,64236.85364,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,2,-1,0,0,0,2779.395007,277939.55,Corridor,475761.6784,-1,0,0,0,0,0,0,208950.4122,642368536.4,Basile
9,Polygon,14,-1,0,0,0,0,54.545228,5454.522783,Zone de reforestation,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,0,1,0,-1,0,97.621586,0,35025.09442,54545227.83,Wamuzimu
10,Polygon,15,-1,0,0,0,0,601.409606,60140.96059,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,1,-1,0,0,0,2779.395007,277939.55,167255.2379,601409605.9,Wamuzimu
11,Polygon,17,2,-1,0,0,0,3.993775,399.377498,Couloir,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,-1,0,0,0,0,0,0, ,0,4,-1,0,0,0,2779.395007,277939.55,14917.05385,3993774.977,Wamuzimu
12,Polygon,0,0,0,0,0,0,122.84044,12284.04395,Zone de reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,Zone de reforestation,0,0,0,0,0,0,0,0,48997.08324,122840439.5,Bakisi
